Action ID,Announce Date,Target Ticker,Target ISIN,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date
69224411,9/27/2012,ZZ US,US8121393016,TPX US,909.51,Cash,Completed,3/18/2013
111216237,8/17/2015,ZU US,US9897741040,QVCA US,2067.15,Cash and Stock,Completed,10/2/2015
112314918,11/6/2015,ZSPH US,US98979G1058,AZN LN,2037.6,Cash,Completed,12/18/2015
125179220,5/5/2016,ZPIN US,US98954L1035,,487.8,Cash,Pending, 
81900649,9/26/2013,ZOLT US,US98975W1045,3402 JP,575.46,Cash,Completed,3/3/2014
62404789,3/12/2012,ZOLL US,US9899221090,3407 JP,2062.85,Cash,Completed,4/30/2012
43195085,2/18/2010,ZNT US,US9893901093,FFH CN,1320.99,Cash,Completed,5/21/2010
140287996,2/13/2017,ZLTQ US,US98933Q1085,AGN US,2309.42,Cash,Completed,5/1/2017
87551829,2/19/2014,ZLC US,US9888581066,SIG US,1198.06,Cash,Completed,5/30/2014
56303521,7/20/2011,ZL CN,CA9891391000,MSCC US,448.94,Cash,Completed,10/31/2011
72579414,1/2/2013,ZIP US,US98974X1037,CAR US,509.92,Cash,Completed,3/15/2013
84897937,1/27/2014,ZIGGO NA,NL0006294290,LBTYA US,11080.59,Cash and Stock,Completed,12/22/2014
48043400,9/7/2010,ZGEN US,US98985T1097,BMY US,725.15,Cash,Completed,10/13/2010
105214134,4/8/2015,ZEP US,US98944B1089,161147Z US,677.6,Cash,Completed,6/26/2015
124386594,1/19/2017,ZC FP,FR0000125684,SAF FP,8855.4,Cash,Pending,12/31/2017
109424566,7/9/2015,YY US,US98426T1060,,2313.53,Cash,Terminated,6/15/2016
114213333,10/16/2015,YOKU US,US98742U1007,BABA US,5119.1,Cash,Completed,4/6/2016
110958652,8/10/2015,YDLE US,US98600P2011,ENV US,443.01,Cash and Stock,Completed,11/20/2015
126153816,7/21/2016,YDKN US,US9843051023,FNB US,1372.8,Stock,Completed,3/13/2017
139414367,1/30/2017,XXIA US,US45071R1095,KEYS US,1559.49,Cash,Completed,4/19/2017
146250928,5/30/2017,XTLY US,US98386L1017,389272Z US,501.26,Cash,Completed,7/31/2017
61456766,2/7/2012,XTA LN,GB0031411001,GLEN LN,43424.21,Stock,Completed,5/3/2013
63236178,4/10/2012,XRIT US,US9838571035,DHR US,625.84,Cash,Completed,5/16/2012
109081535,7/1/2015,XOOM US,US98419Q1013,PYPL US,842.45,Cash,Completed,11/13/2015
102374824,2/6/2015,XLS US,US30162A1088,HRS US,4735.56,Cash and Stock,Completed,5/29/2015
143625705,4/10/2017,XCRA US,US98400J1088,1334073D CH,441.03,Cash,Pending,12/31/2017
49329529,11/1/2010,XCO US,US2692795014,,5183.24,Cash,Terminated,7/8/2011
115671578,11/12/2015,XCH LN,GB00B1VK7X76,CSC US,760.83,Cash,Completed,6/6/2016
115783273,11/16/2015,XCH LN,GB00B1VK7X76,EBIX US,704.42,Cash,Terminated,6/6/2016
113648662,10/4/2015,XCH LN,GB00B1VK7X76,APO US,685.07,Cash,Terminated,11/4/2015
110257536,10/4/2015,XCH LN,GB00B1VK7X76,CPI LN,647.4,Cash,Terminated,12/16/2015
145818145,5/22/2017,XBKS US,US9841022026,UBSH US,741.46,Stock,Pending,1/31/2018
106231939,4/30/2015,WX US,US9293521020,,2967.44,Cash,Completed,12/11/2015
44801694,4/26/2010,WX US,US9293521020,CRL US,1736.13,Cash and Stock,Terminated,7/30/2010
128451851,7/7/2016,WWAV US,US9662441057,BN FP,12349.07,Cash,Completed,4/12/2017
50674946,12/22/2010,WTNY US,US9666121036,HBHC US,1377.74,Stock,Completed,6/7/2011
49792632,11/18/2010,WTN CN,CA95801T1075,WLTGQ US,3855.86,Cash or Stock,Completed,4/7/2011
93385053,7/7/2014,WTF AU,AU000000WTF6,EXPE US,547.52,Cash,Completed,11/18/2014
61096277,1/25/2012,WSX CN,CA96809T1075,CPG CN,595.9,Stock,Completed,3/16/2012
134894105,5/9/2017,WSTC US,US9523552043,APO US,4974.44,Cash,Completed,10/11/2017
48751436,10/6/2010,WSM LN,GB00B1VWM162,GE US,1367.31,Cash,Completed,3/8/2011
74260946,2/21/2013,WSHLY US,US92934F2039,0111135D US,863.45,Cash,Terminated,5/31/2014
65203199,6/7/2012,WSH LN,GB0009323741,WSP CN,540.58,Cash,Completed,8/2/2012
60844523,1/17/2012,WRK-U CN,CA9655317001,D-U CN,997.35,Cash or Stock,Completed,3/6/2012
70289685,10/31/2012,WRC US,US9343904028,PVH US,2823.82,Cash and Stock,Completed,2/14/2013
106836318,5/13/2015,WPZ US,US96949L1052,WMB US,14129.35,Stock,Terminated,9/28/2015
148319477,8/9/2017,WPG LN,GB00BYYK2V80,VNTV US,11298.12,Cash and Stock,Pending,6/30/2018
138420760,1/9/2017,WOOF US,US9181941017,4614Z US,8793.13,Cash,Completed,9/13/2017
62446802,3/13/2012,WOLF US,US3915231076,APO US,743.83,Cash,Completed,5/7/2012
63152530,4/5/2012,WOLF US,US3915231076,730174Z US,723.77,Cash,Terminated,4/21/2012
149179974,7/21/2017,WNRL US,US95931Q2057,ANDX US,2539.22,Stock,Completed,10/31/2017
135453270,11/17/2016,WNR US,US9593191045,ANDV US,5889.54,Cash or Stock,Completed,6/2/2017
54289219,5/6/2011,WMG US,US9345501046,382735Z US,2962.72,Cash,Completed,7/20/2011
126029554,5/23/2016,WMF GR,DE0007803009,SK FP,1776.79,Cash,Completed,11/30/2016
108532149,9/28/2015,WMB US,US9694571004,ETE US,58093.29,Cash or Stock,Terminated,6/29/2016
90511110,4/29/2014,WLF LN,GB0033563130,CRUS US,435.79,Cash,Completed,8/26/2014
60105485,12/19/2011,WINN US,US9742803078,513294Z US,426.57,Cash,Completed,3/12/2012
105220278,10/17/2015,WIN GR,DE000A0CAYB2,DBD US,1501.4,Cash and Stock,Completed,8/15/2016
116756555,12/7/2015,WIBC US,US97186T1088,HOPE US,1008.2,Stock,Completed,8/1/2016
66378682,7/13/2012,WHC AU,AU000000WHC8,0374508D AU,5515.74,Cash,Terminated,8/24/2012
138653312,1/25/2017,WGL US,US92924F1066,ALA CN,6289.42,Cash,Pending,6/30/2018
147314166,6/16/2017,WFM US,US9668371068,AMZN US,13605.36,Cash,Completed,8/29/2017
157086169,12/12/2017,WFD AU,AU000000WFD0,UL NA,21863.74,Cash and Stock,Pending,6/30/2018
145563154,5/16/2017,WFBI US,US9407301046,SASR US,456,Stock,Pending,1/1/2018
104722407,3/28/2015,WDF IM,IT0004954662,DUFN SW,2481.87,Cash,Completed,8/7/2015
104729961,3/28/2015,WDF IM,IT0004954662,DUFN SW,1419.23,Cash,Completed,11/13/2015
77240040,5/20/2013,WCRX US,IE00B446CM77,AGN US,7809.42,Stock,Completed,10/1/2013
132309089,9/22/2016,WCIC US,US92923C8073,LEN US,785.54,Cash,Completed,2/13/2017
69179335,9/26/2012,WCBO US,US9521452097,COLB US,465.19,Cash and Stock,Completed,4/2/2013
60202177,12/21/2011,WCAA US,US92926K1034,779672Z US,429.99,Cash,Completed,3/26/2012
77242570,5/20/2013,WBSN US,US9476841062,389272Z US,889.15,Cash,Completed,6/26/2013
141963362,7/24/2017,WBMD US,US94770V1026,INET US,2594,Cash,Completed,9/18/2017
73482212,1/30/2013,WBL SP,SG1K63001673,UEM SP,724.99,Cash,Completed,5/29/2013
50156488,12/2/2010,WBDF RM,RU0005344356,PEP US,4152.7,Cash,Completed,2/3/2011
50156756,12/2/2010,WBDF RM,RU0005344356,PEP US,1257.7,Cash,Completed,2/10/2011
130097825,8/8/2016,WB CN,CA96336D1042,MTN US,1163.56,Cash and Stock,Completed,10/18/2016
59451756,11/22/2011,WAVIN NA,NL0009412683,MEXCHEM* MM,1169.89,Cash,Completed,7/12/2012
