Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
57244231,10/19/2011,1313814D CN,Rio Tinto Canada Uranium Corp,CCO CN,565.86,Cash,Completed,11/29/2011,4.7,Basic Materials
45003425,4/29/2010,1339658D US,Pacific Capital Bancorp,3601589Z US,500.0,Cash,Completed,8/31/2010,0.2,Financial
62409413,3/12/2012,1339658D US,Pacific Capital Bancorp,8306 JP,1513.63,Cash,Completed,12/4/2012,46,Financial
95657983,9/2/2014,1519128D US,Compuware Corp,129626Z US,2112.52,Cash,Completed,12/16/2014,10.3892,Technology
72002465,12/17/2012,1519128D US,Compuware Corp,978325Z US,2208.82,Cash,Terminated,3/17/2013,11,Technology
128824269,11/29/2016,2131 JP,Accordia Golf Co Ltd,MBKPTS KS,1286.26,Cash,Completed,3/23/2017,1210,"Consumer, Cyclical"
70819969,11/15/2012,2131 JP,Accordia Golf Co Ltd,2466 JP,1779.15,Cash,Terminated,1/17/2013,81000,"Consumer, Cyclical"
141159854,1/9/2017,2168 HK,Yingde Gases Group Co Ltd,1011675D HK,2564.4,Cash,Completed,08/21/2017,6,Basic Materials
47664440,8/16/2010,7586674Q US,3PAR Inc,HPQ US,2096.51,Cash,Completed,09/27/2010,33,Technology
88631475,3/7/2014,917 HK,New World China Land Ltd,17 HK,2364.68,Cash,Terminated,6/16/2014,6.8,Financial
118442777,1/6/2016,917 HK,New World China Land Ltd,17 HK,2732.56,Cash,Completed,8/4/2016,7.8,Financial
87451814,2/12/2014,ACO US,AMCOL International Corp,MTX US,1705.31,Cash,Completed,05/12/2014,45.75,Basic Materials
65546984,6/19/2012,AERL ID,Aer Lingus Group PLC,RYA ID,611.89,Cash,Terminated,2/27/2013,1.3,"Consumer, Cyclical"
100253017,1/26/2015,AERL ID,Aer Lingus Group PLC,IAG LN,1494.86,Cash,Completed,9/17/2015,2.5,"Consumer, Cyclical"
122680817,1/8/2016,AFFX US,Affymetrix Inc,1391094D US,1382.12,Cash,Completed,04/01/2016,17,"Consumer, Non-cyclical"
66586283,7/20/2012,APB SP,Heineken Asia MTN Pte Ltd,HEIA NA,4360.64,Cash,Completed,11/15/2012,53,"Consumer, Non-cyclical"
42934594,2/5/2010,ARG US,Airgas Inc,APD US,7496.88,Cash,Terminated,2/15/2011,70,Basic Materials
115852215,11/17/2015,ARG US,Airgas Inc,AI FP,13246.56,Cash,Completed,5/23/2016,143,Basic Materials
119736142,6/10/2016,AXLL US,Axiall Corp,WLK US,3541.98,Cash,Completed,8/31/2016,33,Basic Materials
60805947,1/13/2012,AXLL US,Axiall Corp,WLK US,1852.63,Cash,Terminated,5/4/2012,35,Basic Materials
66680616,7/24/2012,BBG AU,Billabong International Ltd,8818Z US,1147.67,Cash,Terminated,10/12/2012,1.45,"Consumer, Cyclical"
72975692,1/14/2013,BBG AU,Billabong International Ltd,,726.11,Cash,Terminated,6/4/2013,1.1,"Consumer, Cyclical"
110088115,11/27/2015,BHFKB BB,BHF Group SPRL,656 HK,528.58,Cash,Completed,12/18/2015,5.75,Financial
96625297,12/5/2014,BKN AU,Bradken Ltd,,1039.64,Cash,Terminated,1/27/2015,5.1,Industrial
132827447,10/3/2016,BKN AU,Bradken Ltd,6305 JP,707.19,Cash,Completed,5/17/2017,3.25,Industrial
121537913,4/18/2016,BPI PL,Banco BPI SA,CABK SM,870.76,Cash,Completed,2/7/2017,1.134,Financial
102773140,2/17/2015,BPI PL,Banco BPI SA,CABK SM,1206.22,Cash,Terminated,6/18/2015,1.329,Financial
103220421,2/26/2015,BRPR3 BZ,BR Properties SA,,2488.4,Cash,Terminated,7/2/2015,12,Financial
117037861,12/11/2015,BRPR3 BZ,BR Properties SA,GPIV33 BZ,1556.35,Cash,Completed,5/11/2016,11,Financial
116747855,12/7/2015,BRS AU,Broadspectrum Ltd,FER SM,962.74,Cash,Completed,6/28/2016,1.5,Industrial
97662300,10/20/2014,BRS AU,Broadspectrum Ltd,FER SM,1378.15,Cash,Terminated,12/21/2014,2,Industrial
66969381,11/25/2011,BSAN SW,Bank J Safra Sarasin AG,8227580Z BZ,698.33,Cash,Completed,07/31/2012,36,Financial
48123051,4/9/2010,CASY US,Casey's General Stores Inc,3382 JP,1481.19,Cash,Terminated,11/03/2010,40,"Consumer, Cyclical"
54123863,3/29/2011,CEPH US,Cephalon Inc,TEVA IT,6154.82,Cash,Completed,10/17/2011,81.5,"Consumer, Non-cyclical"
89942218,2/17/2014,CHDX US,Chindex International Inc,,414.26,Cash,Completed,09/30/2014,24,"Consumer, Non-cyclical"
45867314,4/23/2010,CHLD LN,Chloride Group Ltd,ABBN SW,1309.58,Cash,Completed,09/03/2010,3.75,Industrial
44798682,2/26/2010,CKR US,CKE Restaurants Inc,APO US,1009.5,Cash,Completed,07/13/2010,12.55,"Consumer, Cyclical"
82925634,10/24/2013,CLS1 GR,McKesson Europe AG,MCK US,4968.85,Cash,Completed,02/06/2014,23.5,"Consumer, Non-cyclical"
71884156,1/8/2013,CLWR US,Clearwire Corp,0848680D US,3603.82,Cash,Completed,07/10/2013,5,Communications
75787497,2/26/2013,COP NO,Copeinca ASA,CEQ NO,916.59,Cash,Completed,11/08/2013,68.17,"Consumer, Non-cyclical"
61948069,2/22/2012,COV LN,Cove Energy Ltd,PTTEP TB,1593.48,Cash,Completed,09/18/2012,2.4,Energy
136508022,1/23/2017,CPFE3 BZ,CPFL Energia SA,CHSGCZ CH,1389.07,Cash,Completed,11/30/2017,25.51,Utilities
55610270,5/30/2011,CV US,Central Vermont Public Service Corp,,656.79,Cash,Completed,07/12/2011,35.25,Utilities
57560098,5/23/2011,DCH FP,Delachaux SA,,542.74,Cash,Completed,11/18/2011,83,Industrial
75368792,2/5/2013,DELL US,Dell Inc,IEP US,10379.77,Cash,Completed,10/30/2013,15,Technology
121621806,11/6/2015,DRTY LN,Darty Ltd,SNH GR,1157.11,Cash,Completed,08/17/2016,1.7,"Consumer, Cyclical"
47475172,8/13/2010,DYNIQ US,Dynegy Inc/Old,BX US,4659.56,Cash,Terminated,11/23/2010,5,Utilities
50475312,12/15/2010,DYNIQ US,Dynegy Inc/Old,IEP US,4734.27,Cash,Terminated,2/18/2011,5.5,Utilities
92151983,2/20/2014,EIFF FP,Societe de la Tour Eiffel,47646Q FP,799.79,Cash,Completed,09/10/2014,58,Financial
53373262,4/25/2011,EQN CN,Equinox Minerals Ltd,1208 HK,6262.28,Cash,Completed,07/21/2011,8.15,Basic Materials
116825316,11/18/2015,FCS US,Fairchild Semiconductor International Inc,,2413.56,Cash,Completed,09/20/2016,21.7,Technology
94598504,8/18/2014,FDO US,Family Dollar Stores Inc,DG US,9721.49,Cash,Terminated,1/30/2015,80,"Consumer, Cyclical"
52114212,2/15/2011,FDO US,Family Dollar Stores Inc,3082712Z US,7709.56,Cash,Terminated,9/29/2011,60,"Consumer, Cyclical"
139943765,5/24/2017,FGL US,Fidelity & Guaranty Life,,1819.79,Cash,Completed,12/1/2017,31.1,Financial
115495051,11/9/2015,FGL US,Fidelity & Guaranty Life,1083236D CH,1572.88,Cash,Terminated,4/17/2017,26.8,Financial
68772065,11/15/2012,FNN SP,Fraser and Neave Ltd,THBEV SP,8576.36,Cash,Completed,02/18/2013,9.43,Financial
