Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag4,t+1 - t,t - t-1,t+1 - t-1,Action ID,Target Ticker,Payment Type,Target Industry Sector,Cash Terms,Return Used,Spread,t+1 - t Price,t+1 - t Spread,t - t-1 Price,t - t-1 Spread,Delta Spread,Delta Spread percentage
2015:Q3,11/9/2015,,-1.41,-1.41,-1.04,2015-11-09,-0.37,-0.355769230769,89.02,42.2208181962,0.213435183105,-0.0224618149147,0.190925426774,112314918,ZSPH US,Cash,"Consumer, Non-cyclical",90.0,0.190925426774,0.0110087620759,89.21,0.00885550947203,89.04,0.010781671159,-0.00215325260391,-0.19559443551
2016:Q4,8/19/2016,18:30,1.56,3.2,1.07,2016-08-19,2.13,1.99065420561,15.54,2.0658489348,0.965250965251,3.05039787798,4.0450928382,125179220,ZPIN US,Cash,Communications,17.75,0.965250965251,0.142213642214,15.69,0.131293817718,15.08,0.177055702918,-0.0109198244954,-0.0767846482614
2016:Q3,5/23/2016,16:40,1.08,0.96,1.27,2016-05-23,-0.31,-0.244094488189,15.82,-4.61634435434,-2.33881163085,-0.18927444795,-2.52365930599,125179220,ZPIN US,Cash,Communications,17.75,-2.33881163085,0.121997471555,15.45,0.148867313916,15.85,0.119873817035,0.0268698423609,0.22024917417
2014:Q1,2/10/2014,,-0.07,-0.07,0.17,2014-02-10,-0.24,-1.41176470588,16.73,0.11954572624,0.0597728631201,-0.119402985075,-0.0597014925373,81900649,ZOLT US,Cash,Basic Materials,16.75,-0.0597014925373,0.0011954572624,16.74,0.000597371565114,16.75,0.0,-0.000598085697289,-0.500298685782
2013:Q4,12/16/2013,18:20,0.0,0.0,0.14,2013-12-16,-0.14,-1.0,16.73,0.239520958084,0.0597728631201,0.179640718563,0.239520958084,81900649,ZOLT US,Cash,Basic Materials,16.75,0.0597728631201,0.0011954572624,16.74,0.000597371565114,16.7,0.00299401197605,-0.000598085697289,-0.500298685782
2010:Q1,4/21/2010,13:32,-0.1543,-0.15,0.043,2010-04-21,-0.193,-4.48837209302,38.38,0.104248110503,-0.0521104742053,0.0,-0.0521104742053,43195085,ZNT US,Cash,Financial,38.0,0.0,-0.00990099009901,38.36,-0.00938477580813,38.38,-0.00990099009901,0.0,-0.0
2016:Q4,3/1/2017,16:17,0.2695,0.2457,0.169,2017-03-01,0.0767,0.453846153846,55.48,0.360490266763,0.108147080029,0.21676300578,0.325144508671,140287996,ZLTQ US,Cash,"Consumer, Non-cyclical",56.5,0.108147080029,0.0183850036049,55.54,0.0172848397551,55.36,0.0205924855491,-0.00110016384977,-0.0598402846915
2014:Q3,5/20/2014,8:00,0.2807,0.32,0.172,2014-05-20,0.148,0.860465116279,22.41,-2.06370569762,1.2494422133,-0.576752440106,0.665483584738,87551829,ZLC US,Cash,"Consumer, Cyclical",21.0,-0.576752440106,-0.0629183400268,22.69,-0.0744821507272,22.54,-0.0683229813665,0.00540464133969,-0.0791042959718
2014:Q2,2/27/2014,7:30,1.13,1.13,1.038,2014-02-27,0.092,0.0886319845857,21.71,1.68302945302,0.0921234454168,0.369856680536,0.46232085067,87551829,ZLC US,Cash,"Consumer, Cyclical",21.0,0.369856680536,-0.032703823123,21.73,-0.033594109526,21.63,-0.0291262135922,-0.00357760953075,0.122831260556
2012:Q1,7/27/2011,7:00,0.03,0.05,0.03,2011-07-27,0.02,0.666666666667,3.66,0.821917808219,0.273224043716,1.38504155125,1.6620498615,56303521,ZL CN,Cash,Technology,3.98,1.38504155125,0.0874316939891,3.67,0.0844686648501,3.61,0.102493074792,-0.0150613808032,-0.146950228917
2012:Q4,2/15/2013,8:00,0.0894,0.37,0.127,2013-02-15,0.243,1.91338582677,12.24,-0.16339869281,-0.0816993464052,0.0,-0.0816993464052,72579414,ZIP US,Cash,"Consumer, Non-cyclical",12.25,0.0,0.000816993464052,12.23,0.00163532297629,12.24,0.000816993464052,0.0,0.0
