Action ID,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
69224411,9/27/2012,ZZ US,Sealy Corp,TPX US,909.51,Cash,Completed,3/18/2013,2.2,"Consumer, Cyclical"
111216237,8/17/2015,ZU US,zulily Inc,QVCA US,2067.15,Cash and Stock,Completed,10/2/2015,9.375,Communications
112314918,11/6/2015,ZSPH US,ZS Pharma Inc,AZN LN,2037.6,Cash,Completed,12/18/2015,90,"Consumer, Non-cyclical"
125179220,5/5/2016,ZPIN US,Zhaopin Ltd,,487.8,Cash,Pending, ,17.75,Communications
81900649,9/26/2013,ZOLT US,Zoltek Cos Inc,3402 JP,575.46,Cash,Completed,3/3/2014,16.75,Basic Materials
62404789,3/12/2012,ZOLL US,Zoll Medical Corp,3407 JP,2062.85,Cash,Completed,4/30/2012,93,"Consumer, Non-cyclical"
43195085,2/18/2010,ZNT US,Zenith National Insurance Corp,FFH CN,1320.99,Cash,Completed,5/21/2010,38,Financial
140287996,2/13/2017,ZLTQ US,Zeltiq Aesthetics Inc,AGN US,2309.42,Cash,Completed,5/1/2017,56.5,"Consumer, Non-cyclical"
87551829,2/19/2014,ZLC US,Zale Corp,SIG US,1198.06,Cash,Completed,5/30/2014,21,"Consumer, Cyclical"
56303521,7/20/2011,ZL CN,Microsemi Semiconductor Corp,MSCC US,448.94,Cash,Completed,10/31/2011,3.98,Technology
72579414,1/2/2013,ZIP US,Zipcar Inc,CAR US,509.92,Cash,Completed,3/15/2013,12.25,"Consumer, Non-cyclical"
84897937,1/27/2014,ZIGGO NA,Ziggo Holding BV,LBTYA US,11080.59,Cash and Stock,Completed,12/22/2014,11,Communications
48043400,9/7/2010,ZGEN US,ZymoGenetics Inc,BMY US,725.15,Cash,Completed,10/13/2010,9.75,"Consumer, Non-cyclical"
105214134,4/8/2015,ZEP US,Zep Inc,161147Z US,677.6,Cash,Completed,6/26/2015,20.05,Basic Materials
124386594,1/19/2017,ZC FP,Zodiac Aerospace,SAF FP,8855.4,Cash,Pending,12/31/2017,25,Industrial
109424566,7/9/2015,YY US,YY Inc,,2313.53,Cash,Terminated,6/15/2016,68.5,Communications
