Quarter,Date,Time,Unknown,EPS,Est EPS,Date F,Est EPS diff,Est EPS diff percentage,Price,Price Return lag2,t+1 - t,t - t-1,t+1 - t-1,Price Return lag3,Price Return lag4,Action ID,Target Ticker,Payment Type,Target Industry Sector,Return Used
2015:Q4,2/2/2016,6:45,0.29,0.53,0.523,2/2/2016,0.007,0.013207547,30.14,-1.657275439,-1.559389516,-0.099436526,-1.657275439,-3.878024528,-3.778588001,116076732,PFE US,Stock,"Consumer, Non-cyclical",-0.099436526
2016:S1,7/29/2016,7:00,1.0906,1.57,1.66,7/29/2016,-0.09,-0.057324841,115.3,2.675736961,-1.821335646,4.580498866,2.675736961,0.770975057,0.589569161,132864185,ABI BB,Cash,"Consumer, Non-cyclical",4.580498866
2016:Q1,5/4/2016,7:00,0.3693,0.51,0.875,5/4/2016,-0.365,-0.715686275,106.45,0.832177531,2.442461249,-1.571890892,0.832177531,1.017105871,2.450300509,132864185,ABI BB,Cash,"Consumer, Non-cyclical",-1.571890892
2015:A,2/25/2016,7:06,5.1729,5.2,5.006,2/25/2016,0.194,0.037307692,102,-1.590361446,0.098039216,-1.686746988,-1.590361446,-0.144578313,0.819277108,132864185,ABI BB,Cash,"Consumer, Non-cyclical",-1.686746988
2015:Q3,10/30/2015,,0.944,1.02,1.289,10/30/2015,-0.269,-0.26372549,108.7,1.116798511,-0.04599816,1.163331782,1.116798511,1.023731968,1.907864123,132864185,ABI BB,Cash,"Consumer, Non-cyclical",1.116798511
2017:Q3,10/26/2017,8:00,1.809,1.82,1.582,10/26/2017,0.238,0.130769231,98.97,0.070907618,-0.181873295,0.253241491,0.070907618,-0.232982172,-0.435575365,133787476,TWX US,Cash and Stock,Communications,0.253241491
2017:Q2,8/2/2017,7:00,1.3373,1.33,1.19,8/2/2017,0.14,0.105263158,102.52,-0.068346026,-0.165821303,0.09763718,-0.068346026,0.09763718,0.009763718,133787476,TWX US,Cash and Stock,Communications,0.09763718
2017:Q1,5/3/2017,7:00,1.8568,1.66,1.456,5/3/2017,0.204,0.122891566,99.05,-1.036947549,-0.757193337,-0.281888654,-1.036947549,-0.966475385,-0.946340481,133787476,TWX US,Cash and Stock,Communications,-0.281888654
2016:Q4,2/8/2017,7:00,1.2924,1.25,1.193,2/8/2017,0.057,0.0456,96.6,0.155892746,-0.238095238,0.394928289,0.155892746,0.37414259,-0.155892746,133787476,TWX US,Cash and Stock,Communications,0.394928289
2016:Q3,11/2/2016,7:00,1.8431,1.83,1.366,11/2/2016,0.464,0.253551913,87.28,-1.246458924,-0.148945921,-1.099150142,-1.246458924,-2.073654391,-0.577903683,133787476,TWX US,Cash and Stock,Communications,-1.099150142
2015:A,2/5/2016,7:00,0.4972,0.497,0.441,2/5/2016,0.056,0.112676056,1060,-0.283687943,-0.518867925,0.236406619,-0.283687943,-2.789598109,-2.978723404,105171396,BG/ LN,Cash and Stock,Energy,0.236406619
2015:Q3,10/30/2015,7:00,0.082,0.082,0.055,10/30/2015,0.027,0.329268293,1025,-0.097087379,0.390243902,-0.485436893,-0.097087379,2.572815534,2.669902913,105171396,BG/ LN,Cash and Stock,Energy,-0.485436893
2015:S1,7/31/2015,7:00,0.29,0.291,,7/31/2015,,,1092.5,1.065308013,-0.137299771,1.204261232,1.065308013,0.833719314,2.037980547,105171396,BG/ LN,Cash and Stock,Energy,1.204261232
2015:Q1,5/8/2015,7:00,0.1656,0.166,0.084,5/8/2015,0.082,0.493975904,1190.5,0.936967632,-0.46199076,1.405451448,0.936967632,0.085178876,0.724020443,105171396,BG/ LN,Cash and Stock,Energy,1.405451448
2016:Q1,4/28/2016,6:00,1.8106,1.81,1.747,4/28/2016,0.063,0.03480663,210.79,1.395860223,0.626215665,0.764854917,1.395860223,2.806061475,1.711362876,105964911,TWC US,Cash and Stock,Communications,0.764854917
2015:Q4,1/28/2016,6:00,1.8134,1.8,1.768,1/28/2016,0.032,0.017777778,178.48,3.626736506,1.97781264,1.616943749,3.626736506,4.936233204,3.672284218,105964911,TWC US,Cash and Stock,Communications,1.616943749
2015:Q3,10/29/2015,6:00,1.6299,1.62,1.552,10/29/2015,0.068,0.041975309,191.82,2.240215924,-1.261599416,3.546558704,2.240215924,1.165991903,2.191632928,105964911,TWC US,Cash and Stock,Communications,3.546558704
2015:Q2,7/30/2015,6:00,1.5511,1.54,1.796,7/30/2015,-0.256,-0.166233766,190.84,0.306181703,-0.434919304,0.744338278,0.306181703,0.971335058,1.889880167,105964911,TWC US,Cash and Stock,Communications,0.744338278
