Deal Type,Announce Date,Target Ticker,Target Name,Acquirer Ticker,Announced Total Value (mil.),Payment Type,Deal Status,Completion/Termination Date,Cash Terms,Target Industry Sector
M&A,11/23/2015,PFE US,Pfizer Inc,AGN US,183831.5,Stock,Terminated,4/6/2016,N/A,"Consumer, Non-cyclical"
M&A,10/13/2015,ABI BB,Anheuser-Busch InBev SA/NV,ABIT BB,122966.08,Cash,Completed,10/10/2016,.4500/sh.,"Consumer, Non-cyclical"
M&A,10/22/2016,TWX US,Time Warner Inc,T US,107130.77,Cash and Stock,Pending,4/22/2018,53.7500/sh.,Communications
M&A,4/8/2015,BG/ LN,BG Group Ltd,RDSA LN,79308.49,Cash and Stock,Completed,2/15/2016,3.8300/sh.,Energy
M&A,5/26/2015,TWC US,Time Warner Cable Inc,9876540D US,79249.7,Cash and Stock,Completed,5/18/2016,100.0000/sh.,Communications
M&A,12/3/2017,AET US,Aetna Inc,CVS US,68660.48,Cash and Stock,Pending,12/31/2018,145.0000/sh.,"Consumer, Non-cyclical"
M&A,2/13/2014,TWC US,Time Warner Cable Inc,CMCSA US,68404.8,Stock,Terminated,4/24/2015,N/A,Communications
M&A,5/18/2014,1448062D US,DIRECTV,T US,66668.8,Cash and Stock,Completed,7/27/2015,28.5000/sh.,Communications
M&A,5/18/2016,MON US,Monsanto Co,BAYN GR,65695.72,Cash,Pending,1/31/2018,128.0000/sh.,Basic Materials
M&A,12/11/2015,DD US,EI du Pont de Nemours & Co,DWDP US,65603.12,Stock,Completed,9/1/2017,N/A,Basic Materials
M&A,11/17/2014,1284849D US,Allergan Inc/United States,AGN US,65024.28,Cash and Stock,Completed,3/17/2015,129.2200/sh.,"Consumer, Non-cyclical"
M&A,10/12/2015,EMC US,EMC Corp,1437308D US,63693.23,Cash,Completed,9/7/2016,24.0500/sh.,Technology
M&A,10/21/2016,RAI US,Reynolds American Inc,BATS LN,58735.52,Cash and Stock,Completed,7/25/2017,29.4400/sh.,"Consumer, Non-cyclical"
M&A,9/28/2015,WMB US,Williams Cos Inc/The,ETE US,58093.29,Cash or Stock,Terminated,6/29/2016,43.5000/sh.,Energy
M&A,3/25/2015,KRFT US,Kraft Foods Group Inc,HNZ US,55422.87,Cash and Stock,Completed,7/6/2015,16.5000/sh.,"Consumer, Non-cyclical"
M&A,7/8/2014,SHP LN,Shire PLC,ABBV US,54858.95,Cash and Stock,Terminated,10/20/2014,24.4400/sh.,"Consumer, Non-cyclical"
M&A,4/22/2014,1284849D US,Allergan Inc/United States,VRX CN,54214.43,Cash and Stock,Terminated,11/19/2014,72.0000/sh.,"Consumer, Non-cyclical"
M&A,11/21/2016,9876456D US,Energy Transfer LP,ETP US,50745.62,Stock,Completed,4/28/2017,N/A,Energy
M&A,7/24/2015,CI US,Cigna Corp,ANTM US,50382.29,Cash and Stock,Terminated,2/14/2017,103.4000/sh.,"Consumer, Non-cyclical"
M&A,8/10/2014,KMP US,Kinder Morgan Energy Partners LP,KMI US,48881.88,Cash and Stock,Completed,11/28/2014,10.7700/sh.,Energy
M&A,2/3/2016,SYNN SW,Syngenta AG,CHNCCZ CH,46311.73,Cash,Completed,1/8/2018,465.0000/sh.,Basic Materials
M&A,6/15/2014,COV US,Covidien Ltd,MDT US,46235.92,Cash and Stock,Completed,1/27/2015,35.1900/sh.,"Consumer, Non-cyclical"
M&A,10/27/2016,NXPI US,NXP Semiconductors NV,QCOM US,46046.23,Cash,Pending,1/12/2018,110.0000/sh.,Technology
M&A,2/7/2012,XTA LN,Xstrata Ltd,GLEN LN,43424.21,Stock,Completed,5/3/2013,N/A,Basic Materials
M&A,8/17/2010,POT CN,Potash Corp of Saskatchewan Inc,BHP AU,42967.84,Cash,Terminated,11/3/2010,130.0000/sh.,Basic Materials
M&A,9/6/2016,1539941D US,Spectra Energy Corp,ENB CN,42223.61,Stock,Completed,2/27/2017,N/A,Energy
M&A,1/9/2015,13 HK,Hutchison Whampoa Ltd,1 HK,41705.25,Stock,Completed,6/3/2015,N/A,Diversified
M&A,10/18/2017,ABE SM,Abertis Infraestructuras SA,HOT GR,41518.22,Cash or Stock,Pending, ,18.7600/sh.,"Consumer, Non-cyclical"
M&A,12/20/2016,LIN GR,Linde AG,PX US,41396.62,Stock,Pending,11/24/2017,N/A,Basic Materials
M&A,10/15/2012,0848680D US,Sprint Communications Inc,9984 JP,39739.41,Cash,Completed,7/11/2013,7.6500/sh.,Communications
M&A,11/17/2015,NSC US,Norfolk Southern Corp,CP CN,37959.02,Cash and Stock,Terminated,4/11/2016,32.8600/sh.,Industrial
M&A,4/15/2013,0848680D US,Sprint Communications Inc,DISH US,37723.42,Cash and Stock,Terminated,6/18/2013,4.7600/sh.,Communications
M&A,10/16/2011,EP US,El Paso LLC,KMI US,37572.46,Cash and Stock,Completed,5/25/2012,14.6500/sh.,Energy
M&A,11/17/2014,BHGE US,Baker Hughes a GE Co,HAL US,37525.65,Cash and Stock,Terminated,4/30/2016,19.0000/sh.,Energy
M&A,8/10/2015,PCP US,Precision Castparts Corp,BRK/A US,35657.61,Cash,Completed,2/1/2016,235.0000/sh.,Industrial
M&A,1/11/2016,BXLT US,Baxalta Inc,SHP LN,35563.4,Cash and Stock,Completed,6/3/2016,18.0000/sh.,"Consumer, Non-cyclical"
M&A,4/7/2014,LG FP,Lafarge SA,LHN SW,34833.75,Stock,Completed,7/7/2015,N/A,Industrial
M&A,5/15/2017,ABE SM,Abertis Infraestructuras SA,ATL IM,34388.44,Cash,Pending, ,16.5000/sh.,"Consumer, Non-cyclical"
M&A,7/21/2011,MHS US,Medco Health Solutions Inc,ESRX US,34321.55,Cash and Stock,Completed,4/2/2012,28.8000/sh.,"Consumer, Non-cyclical"
M&A,10/26/2014,9123456D US,Williams Partners LP/Old,WPZ US,33875.89,Stock,Completed,2/3/2015,N/A,Energy
M&A,10/31/2016,LVLT US,Level 3 Communications Inc,CTL US,33500.2,Cash and Stock,Completed,11/1/2017,26.5000/sh.,Communications
M&A,4/8/2015,PRGO US,Perrigo Co PLC,MYL US,32441.1,Cash and Stock,Terminated,11/13/2015,75.0000/sh.,"Consumer, Non-cyclical"
M&A,8/22/2017,762 HK,China Unicom Hong Kong Ltd,600050 CH,32059.15,Cash,Completed,11/28/2017,13.2400/sh.,Communications
M&A,3/8/2010,GGP US,GGP Inc,,30713.63,Cash,Completed,8/19/2010,10.0000/sh.,Financial
M&A,9/5/2017,COL US,Rockwell Collins Inc,UTX US,30174.06,Cash and Stock,Pending,9/30/2018,93.3300/sh.,Industrial
M&A,7/18/2016,ARM LN,ARM Holdings PLC,9984 JP,30124.56,Cash,Completed,9/6/2016,17.0000/sh.,Technology
M&A,4/28/2016,STJ US,St Jude Medical Inc,ABT US,30108.18,Cash and Stock,Completed,1/4/2017,46.7500/sh.,"Consumer, Non-cyclical"
M&A,5/28/2015,BRCM US,Broadcom Corp,1373183D US,29805.9,Cash or Stock,Completed,2/2/2016,54.5000/sh.,Technology
M&A,1/26/2017,ATLN SW,Actelion Ltd,JNJ US,29762.2,Cash,Completed,11/7/2017,280.0000/sh.,"Consumer, Non-cyclical"
M&A,7/3/2015,HUM US,Humana Inc,AET US,29423.56,Cash and Stock,Terminated,2/14/2017,125.0000/sh.,"Consumer, Non-cyclical"
M&A,7/1/2015,9876566D US,Chubb Corp/The,CB US,28985.65,Cash and Stock,Completed,1/15/2016,62.9300/sh.,Financial
M&A,1/25/2016,1436513D US,Johnson Controls Inc,JCI US,28667.27,Cash or Stock,Completed,9/6/2016,34.8800/sh.,"Consumer, Cyclical"
M&A,2/14/2013,HNZ US,Kraft Heinz Foods Co,,27403.3,Cash,Completed,6/10/2013,72.5000/sh.,"Consumer, Non-cyclical"
M&A,7/15/2014,LO US,Lorillard LLC,RAI US,26477.06,Cash and Stock,Completed,6/12/2015,50.5000/sh.,"Consumer, Non-cyclical"
M&A,1/13/2010,TELECOA1 MM,Carso Global Telecom SAB de CV,AMXL MM,25642.69,Stock,Completed,1/27/2011,N/A,Communications
M&A,1/10/2011,0961514D US,Progress Energy Inc,DUK US,25531.04,Stock,Completed,7/3/2012,N/A,Utilities
M&A,6/13/2016,LNKD US,LinkedIn Corp,MSFT US,24379.9,Cash,Completed,12/8/2016,196.0000/sh.,Communications
M&A,4/23/2017,BCR US,CR Bard Inc,BDX US,24119.17,Cash and Stock,Completed,12/29/2017,222.9300/sh.,"Consumer, Non-cyclical"
M&A,9/22/2011,5405 JP,Sumitomo Metal Industries Ltd,5401 JP,23791.69,Stock,Completed,9/26/2012,N/A,Basic Materials
M&A,8/9/2013,KPN NA,Koninklijke KPN NV,AMXL MM,22695.36,Cash,Terminated,10/16/2013,2.4000/sh.,Communications
M&A,12/9/2016,SKY LN,Sky PLC,FOXA US,22601.6,Cash,Pending,6/30/2018,10.7500/sh.,Communications
M&A,4/22/2010,0772031D US,Qwest Communications International Inc,CTL US,22161.55,Stock,Completed,4/1/2011,N/A,Communications
M&A,12/12/2017,WFD AU,Westfield Corp,UL NA,21863.74,Cash and Stock,Pending,6/30/2018,2.6700/sh.,Financial
M&A,2/5/2013,VMED US,Virgin Media Inc/Old,LBTYA US,21627.16,Cash and Stock,Completed,6/10/2013,17.5000/sh.,Communications
M&A,2/18/2014,FRX US,Forest Laboratories Inc,AGN US,20781.04,Cash and Stock,Completed,7/1/2014,26.0400/sh.,"Consumer, Non-cyclical"
M&A,3/9/2015,MAC US,Macerich Co/The,SPG US,20768.04,Cash and Stock,Terminated,3/31/2015,47.7500/sh.,Financial
M&A,11/28/2016,991 HK,Datang International Power Generation Co Ltd,CHDACZ CH,19797.29,Cash,Pending, ,3.5600/sh.,Utilities
M&A,3/4/2015,PCYC US,Pharmacyclics Inc,ABBV US,19776.89,Cash and Stock,Completed,5/27/2015,152.2500/sh.,"Consumer, Non-cyclical"
M&A,8/29/2010,GENZ US,Genzyme Corp,SAN FP,19641.43,Cash,Completed,4/11/2011,74.0000/sh.,"Consumer, Non-cyclical"
M&A,7/28/2013,OMC US,Omnicom Group Inc,PUB FP,19420.43,Stock,Terminated,5/8/2014,N/A,Communications
M&A,9/21/2011,GR US,Goodrich Corp,UTX US,17975.13,Cash,Completed,7/27/2012,127.5000/sh.,Industrial
M&A,12/14/2015,JAH US,Jarden Corp,NWL US,17933.78,Cash and Stock,Completed,4/18/2016,21.0000/sh.,"Consumer, Non-cyclical"
M&A,9/17/2015,CVC US,Cablevision Systems Corp,,17835.29,Cash,Completed,6/21/2016,34.9000/sh.,Communications
M&A,2/10/2017,MJN US,Mead Johnson Nutrition Co,RB/ LN,17809.81,Cash,Completed,6/15/2017,90.0000/sh.,"Consumer, Non-cyclical"
M&A,9/12/2016,AGU CN,Agrium Inc,NTR CN,17767.75,Stock,Completed,1/2/2018,N/A,Basic Materials
M&A,7/23/2012,NXY CN,Nexen Energy ULC,883 HK,17431.65,Cash,Completed,3/1/2013,27.5000/sh.,Energy
M&A,1/26/2015,RGP US,Regency Energy Partners LP,9876456D US,17429.94,Stock,Completed,4/30/2015,N/A,Energy
M&A,2/1/2017,OKS US,ONEOK Partners LP,OKE US,17377.65,Stock,Completed,7/3/2017,N/A,Energy
