MMM US,
3/31/2010,5944.5
6/30/2010,6672.222
9/30/2010,6791.333
12/31/2010,6586.375
3/31/2011,6953.2
6/30/2011,7619.727
9/30/2011,7778.8
12/31/2011,7090.636
3/31/2012,7443
6/30/2012,7781.9
9/30/2012,7628.4
12/31/2012,7173.444
3/31/2013,7808.1
6/30/2013,7771.5
9/30/2013,7854.818
12/31/2013,7709.182
3/31/2014,7956
6/30/2014,8078.875
9/30/2014,8249.222
12/31/2014,7766.455
3/31/2015,7847.2
6/30/2015,7822.8
9/30/2015,7837.1
12/31/2015,7176.7
3/31/2016,7315.636
6/30/2016,7699.818
9/30/2016,7712.364
12/31/2016,7345.273
3/31/2017,7496.667
6/30/2017,7859.889
9/30/2017,7928.111
,
,
,
,
,
,
,
,
,
,
ABT US,
3/31/2010,7711.083
6/30/2010,8833.455
9/30/2010,8917
12/31/2010,9889.929
3/31/2011,8829.917
6/30/2011,9568.692
9/30/2011,9628.533
12/31/2011,10637.813
3/31/2012,9354.6
6/30/2012,9834.813
9/30/2012,9942.5
12/31/2012,10592.778
3/31/2013,5413.4
6/30/2013,5516.412
9/30/2013,5390.267
12/31/2013,5715.8
3/31/2014,5274.6
6/30/2014,5531.5
9/30/2014,5595.857
12/31/2014,5433.375
3/31/2015,4846.615
6/30/2015,5148.706
9/30/2015,5135.529
12/31/2015,5228.357
3/31/2016,4780.625
6/30/2016,5247
9/30/2016,5289.667
12/31/2016,5371.364
3/31/2017,6167.5
6/30/2017,6629.733
9/30/2017,6720
,
,
,
,
,
,
,
,
,
,
ABBV US,
3/31/2013,4301
6/30/2013,4511.75
9/30/2013,4517.625
12/31/2013,5092.143
3/31/2014,4331.625
6/30/2014,4697.5
9/30/2014,4822.6
12/31/2014,5344.889
3/31/2015,4968.8
6/30/2015,5593.25
9/30/2015,5886.917
12/31/2015,6371.5
3/31/2016,5961.214
6/30/2016,6201.4
9/30/2016,6558.765
12/31/2016,6903.938
3/31/2017,6484.25
6/30/2017,6930.067
9/30/2017,7001
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACN US,
2/28/2010,5181.2
5/31/2010,5559.444
8/31/2010,5308
11/30/2010,5818.667
2/28/2011,5744.75
5/31/2011,6431.571
8/31/2011,6533.5
11/30/2011,6869.8
2/29/2012,6653
5/31/2012,7170.294
8/31/2012,6774.8
11/30/2012,7294.706
2/28/2013,7079
5/31/2013,7434.611
8/31/2013,6905.313
11/30/2013,7255.588
2/28/2014,7213.125
5/31/2014,7548.625
8/31/2014,7620.063
11/30/2014,7689.444
2/28/2015,7364.588
5/31/2015,7542.947
8/31/2015,7681.75
11/30/2015,7918.9
2/29/2016,7721.474
5/31/2016,8291.429
