MMM US,
3/31/2010,6348
6/30/2010,6731
9/30/2010,6874
12/31/2010,6709
3/31/2011,7311
6/30/2011,7680
9/30/2011,7531
12/31/2011,7089
3/31/2012,7486
6/30/2012,7534
9/30/2012,7497
12/31/2012,7387
3/31/2013,7634
6/30/2013,7752
9/30/2013,7916
12/31/2013,7569
3/31/2014,7831
6/30/2014,8134
9/30/2014,8137
12/31/2014,7719
3/31/2015,7578
6/30/2015,7686
9/30/2015,7712
12/31/2015,7298
3/31/2016,7409
6/30/2016,7662
9/30/2016,7709
12/31/2016,7329
3/31/2017,7685
6/30/2017,7810
9/30/2017,8172
,
,
,
,
,
,
,
,
,
,
ABT US,
3/31/2010,7698
6/30/2010,8826
9/30/2010,8675
12/31/2010,9968
3/31/2011,9041
6/30/2011,9616
9/30/2011,9817
12/31/2011,10377
3/31/2012,9457
6/30/2012,9807
9/30/2012,9773
12/31/2012,10837
3/31/2013,5378
6/30/2013,5446
9/30/2013,5369
12/31/2013,5655
3/31/2014,5244
6/30/2014,5551
9/30/2014,5623
12/31/2014,5356
3/31/2015,4897
6/30/2015,5170
9/30/2015,5150
12/31/2015,5188
3/31/2016,4885
6/30/2016,5333
9/30/2016,5302
12/31/2016,5333
3/31/2017,6335
6/30/2017,6637
9/30/2017,6829
,
,
,
,
,
,
,
,
,
,
ABBV US,
3/31/2013,4329
6/30/2013,4692
9/30/2013,4658
12/31/2013,5111
3/31/2014,4563
6/30/2014,4926
9/30/2014,5019
12/31/2014,5371
3/31/2015,5040
6/30/2015,5475
9/30/2015,5944
12/31/2015,6360
3/31/2016,5958
6/30/2016,6432
9/30/2016,6386
12/31/2016,6784
3/31/2017,6538
6/30/2017,6944
9/30/2017,6995
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
ACN US,
2/28/2010,5176.438
5/31/2010,5571.017
8/31/2010,5420.581
11/30/2010,6045.65
2/28/2011,6053.621
5/31/2011,6720.115
8/31/2011,6687.65
11/30/2011,7074.497
2/29/2012,6797.25
5/31/2012,7154.69
8/31/2012,6835.893
11/30/2012,7219.961
2/28/2013,7058.042
5/31/2013,7198.14
8/31/2013,7086.667
11/30/2013,7358.749
2/28/2014,7130.667
5/31/2014,7735.638
8/31/2014,7777.34
11/30/2014,7895.715
2/28/2015,7493.329
5/31/2015,7770.382
8/31/2015,7888.505
11/30/2015,8013.163
2/29/2016,7945.565
5/31/2016,8434.757
8/31/2016,8489.238
11/30/2016,8515.517
2/28/2017,8317.671
5/31/2017,8867.036
8/31/2017,9149.958
11/30/2017,9523.222
,
,
,
,
,
,
,
,
,
ATVI US,
3/31/2010,1308
6/30/2010,967
9/30/2010,745
12/31/2010,1427
3/31/2011,1449
6/30/2011,1146
9/30/2011,627
12/31/2011,2408
3/31/2012,587
6/30/2012,1054
9/30/2012,751
12/31/2012,2595
3/31/2013,804
6/30/2013,608
9/30/2013,657
12/31/2013,2272
3/31/2014,772
6/30/2014,658
9/30/2014,1170
12/31/2014,2213
3/31/2015,703
6/30/2015,759
9/30/2015,1040
12/31/2015,2118
3/31/2016,908
6/30/2016,1609
9/30/2016,1630
12/31/2016,2452
3/31/2017,1196
6/30/2017,1418
9/30/2017,1902
,
,
,
,
,
,
,
,
,
,
AYI US,
2/28/2010,383.5
5/31/2010,407.6
8/31/2010,444.1
11/30/2010,425
2/28/2011,416.1
5/31/2011,458.3
8/31/2011,496.2
11/30/2011,474.3
2/29/2012,457.7
5/31/2012,487.5
8/31/2012,514.3
11/30/2012,481.1
2/28/2013,486.7
5/31/2013,541.5
8/31/2013,579.8
11/30/2013,574.7
2/28/2014,546.2
5/31/2014,603.9
8/31/2014,668.7
11/30/2014,647.4
2/28/2015,616.1
5/31/2015,683.7
8/31/2015,759.5
11/30/2015,736.6
2/29/2016,777.8
5/31/2016,851.5
8/31/2016,925.5
11/30/2016,851.2
2/28/2017,804.7
5/31/2017,891.6
8/31/2017,957.6
11/30/2017,842.8
,
,
,
,
,
,
,
,
,
ADBE US,
3/5/2010,858.7
6/4/2010,943.035
9/3/2010,990.319
12/3/2010,1007.946
3/4/2011,1027.706
6/3/2011,1023.179
9/2/2011,1013.212
12/2/2011,1152.161
3/2/2012,1045.22
6/1/2012,1124.449
8/31/2012,1080.58
11/30/2012,1153.428
3/1/2013,1007.873
5/31/2013,1010.549
8/30/2013,995.119
11/29/2013,1041.699
2/28/2014,1000.12
5/30/2014,1068.208
8/29/2014,1005.409
11/28/2014,1073.328
2/27/2015,1109.181
5/29/2015,1162.158
8/28/2015,1217.768
11/27/2015,1306.404
3/4/2016,1383.335
6/3/2016,1398.709
9/2/2016,1463.967
12/2/2016,1608.419
3/3/2017,1681.646
6/2/2017,1772.19
9/1/2017,1841.074
12/1/2017,2006.595
,
,
,
,
,
,
,
,
,
AMD US,
3/27/2010,1574
6/26/2010,1653
9/25/2010,1618
12/25/2010,1649
4/2/2011,1613
7/2/2011,1574
10/1/2011,1690
12/31/2011,1691
3/31/2012,1585
6/30/2012,1413
9/29/2012,1269
12/29/2012,1155
3/30/2013,1088
6/29/2013,1161
9/28/2013,1461
12/28/2013,1589
3/29/2014,1397
6/28/2014,1441
9/27/2014,1429
12/27/2014,1239
3/28/2015,1030
6/27/2015,942
9/26/2015,1061
12/26/2015,958
3/26/2016,832
