MMM US,,,,,
2017:Q4,1/25/2018,23:00,#N/A N/A,#N/A N/A,2.021
2017:Q3,10/24/2017,7:30,2.33,2.3323,2.205
2017:Q2,7/25/2017,7:30,2.091,2.58,2.59
2017:Q1,4/25/2017,7:30,2.1632,2.1618,2.068
2016:Q4,1/24/2017,7:30,1.898,1.88,1.871
2016:Q3,10/25/2016,7:30,2.1426,2.15,2.139
2016:Q2,7/26/2016,7:30,2.0926,2.08,2.063
2016:Q1,4/26/2016,7:30,1.8924,1.9521,1.924
2015:Q4,1/26/2016,7:30,1.8007,1.8004,1.75
2015:Q3,10/22/2015,7:30,2.05,2.05,1.998
2015:Q2,7/23/2015,7:30,2.02,2.02,1.995
2015:Q1,4/23/2015,7:30,1.85,1.85,1.925
2014:Q4,1/27/2015,7:30,1.81,1.81,1.796
2014:Q3,10/23/2014,7:30,1.98,1.98,1.961
2014:Q2,7/24/2014,7:30,1.91,1.91,1.908
2014:Q1,4/24/2014,7:30,1.79,1.79,1.796
2013:Q4,1/30/2014,7:30,1.62,1.62,1.615
2013:Q3,10/24/2013,7:30,1.78,1.78,1.754
2013:Q2,7/25/2013,7:30,1.71,1.71,1.705
2013:Q1,4/25/2013,7:30,1.61,1.61,1.652
2012:Q4,1/24/2013,7:30,1.45,1.41,1.409
2012:Q3,10/23/2012,7:30,1.65,1.65,1.65
2012:Q2,7/26/2012,7:30,1.66,1.66,1.653
2012:Q1,4/24/2012,7:30,1.63,1.6333,1.486
2011:Q4,1/26/2012,7:30,1.35,1.35,1.305
2011:Q3,10/25/2011,7:30,1.52,1.52,1.609
2011:Q2,7/26/2011,7:30,1.6,1.6,1.592
2011:Q1,4/26/2011,7:30,1.49,1.49,1.435
2010:Q4,1/25/2011,7:30,1.28,1.28,1.268
2010:Q3,10/28/2010,7:30,1.53,1.53,1.512
2010:Q2,7/22/2010,7:30,1.54,1.54,1.474
2010:Q1,4/27/2010,7:30,1.4061,1.4,1.212
